그룹	행	2Depth	3Depth	Checklist	현재H	현재I	후보1_yaml	후보1_케이스	점수	후보2_yaml	후보2_케이스
Receive Overseas Funds	312	Openbanking Charging (KFTC)	Biometric	인바운드 환율 선택 시 국가리스트 바텀시트 발생 확인  - 국가 선택 동작 확인			13_ReceiveOverseas	[01] Exchange Rate - 인바운드 환율 선택 시 국가리스트 바텀시트 발생 확인 - 국가 선택 동작 확인	0.65	13_ReceiveOverseas	[06] Add Inbound Sender - 국가리스트 발생 확인
Receive Overseas Funds	313	Openbanking Charging (KFTC)	Biometric	국가리스트 검색동작 확인 			13_ReceiveOverseas	[02] Exchange Rate - 국가리스트 검색동작 확인	1.00	13_ReceiveOverseas	[06] Add Inbound Sender - 국가리스트 발생 확인
Receive Overseas Funds	314	Openbanking Charging (KFTC)	Biometric	임의 국가 선택 시 국가 환율 계산페이지 노출 확인 			13_ReceiveOverseas	[03] Exchange Rate - 임의 국가 선택 시 국가 환율 계산페이지 노출 확인	1.00	13_ReceiveOverseas	[10] Inbound Request - 등록된 송금인 항목 선택 해당 국가 환율계산 페이지 이동 확인
Receive Overseas Funds	315	Openbanking Charging (KFTC)	Biometric	국가 별 환율계산 확인  - 인도네시아 ,몽골 , 베트남 			13_ReceiveOverseas	[04] Exchange Rate - 국가 별 환율계산 확인 - 인도네시아, 몽골, 베트남	0.65	13_ReceiveOverseas	[07] Add Inbound Sender - 인도네시아, 몽골, 베트남 국가 송금인 등록 확인
Receive Overseas Funds	316	Openbanking Charging (KFTC)	Biometric	환율계산 완료 > Request 동작 시  인바운드 메인화면 이동확인 			13_ReceiveOverseas	[05] Exchange Rate - 환율계산 완료 > Request 동작 시 인바운드 메인화면 이동확인	1.00	13_ReceiveOverseas	[18] Inbound Request Status - Submit Another Request 선택 시 인바운드 메인화면 이동
Receive Overseas Funds	317	Add Inbound Sender	Biometric	국가리스트 발생 확인 , 국가 검색동작 확인  -[NEXT] 버튼 선택 시 다음 페이지 이동 확인 			13_ReceiveOverseas	[06] Add Inbound Sender - 국가리스트 발생 확인	0.51	13_ReceiveOverseas	[02] Exchange Rate - 국가리스트 검색동작 확인
Receive Overseas Funds	318	Add Inbound Sender	Biometric	인도네시아, 몽골, 베트남 국가 송금인 등록 확인  - 베트남 송금인 등록 시 사진 파일 정상 업로드 확인 			13_ReceiveOverseas	[07] Add Inbound Sender - 인도네시아, 몽골, 베트남 국가 송금인 등록 확인	0.83	13_ReceiveOverseas	[04] Exchange Rate - 국가 별 환율계산 확인 - 인도네시아, 몽골, 베트남
Receive Overseas Funds	319	Add Inbound Sender	Biometric	송금인 정보 입력페이지 정보 입력 동작 확인  - 이름 , 전화번호 , 이메일 , 주소 , 도시  - [NEXT] 버튼 선택 			13_ReceiveOverseas	[08] Add Inbound Sender - 송금인 정보 입력페이지 정보 입력 동작 확인	0.59	13_ReceiveOverseas	[09] Add Inbound Sender - 확인 바텀시트 동작 확인
Receive Overseas Funds	320	Add Inbound Sender	Biometric	확인 바텀시트 동작 확인  - 취소 버튼 선택 시 닫힘  - OK 버튼 선택 시 저장성공 동작 확인  ( 송금요청 확인 바텀시			13_ReceiveOverseas	[09] Add Inbound Sender - 확인 바텀시트 동작 확인	0.43	13_ReceiveOverseas	[08] Add Inbound Sender - 송금인 정보 입력페이지 정보 입력 동작 확인
Receive Overseas Funds	321	Inbound Request	Biometric	등록된 송금인 항목 선택 해당 국가 환율계산 페이지 이동 확인 			13_ReceiveOverseas	[10] Inbound Request - 등록된 송금인 항목 선택 해당 국가 환율계산 페이지 이동 확인	1.18	13_ReceiveOverseas	[16] Inbound Request Status - 송금요청 디테일페이지 확인
